time(s),joint1,joint2,joint3,joint4,joint5,joint6,joint7,wheel_joint_left,wheel_joint_right
0.506,-2.15921e-07,6.20337e-06,3.39417e-06,-1.00021e-05,2.48635e-06,-1.10005e-08,5.76343e-09,-3.02996e-08,1.00276e-07
0.526,-2.27509e-07,6.26318e-06,3.56089e-06,-9.85864e-06,2.50435e-06,-1.09216e-08,5.7177e-09,-2.5995e-08,1.06892e-07
0.546,-2.28523e-07,-6.13042e-06,3.5678e-06,-9.83073e-06,2.4989e-06,-1.081e-08,5.70966e-09,-2.13858e-08,1.13239e-07
0.566,-2.27598e-07,-1.1362e-05,3.55317e-06,-9.86217e-06,2.49795e-06,-1.08311e-08,5.71409e-09,-1.67815e-08,1.19601e-07
0.586,-2.26645e-07,6.09189e-06,3.53822e-06,-9.89485e-06,2.49683e-06,-1.08547e-08,5.71826e-09,-1.21841e-08,1.25976e-07
0.606,-2.25689e-07,-6.15412e-06,3.5231e-06,-9.92845e-06,2.49572e-06,-1.08791e-08,5.72248e-09,-7.60635e-09,1.32365e-07
0.626,-2.24731e-07,-1.12874e-05,3.50782e-06,-9.96293e-06,2.49462e-06,-1.09043e-08,5.72676e-09,-3.13692e-09,1.38768e-07
0.646,-2.2377e-07,6.1379e-06,3.49238e-06,-1.0013e-05,2.49353e-06,-1.09303e-08,5.73109e-09,2.09984e-09,1.45184e-07
0.666,-2.22808e-07,-6.09221e-06,3.47679e-06,1.00342e-05,2.49245e-06,-1.09571e-08,5.73548e-09,6.44752e-09,1.51614e-07
0.686,-2.21843e-07,-6.75661e-06,3.46104e-06,1.00693e-05,2.49138e-06,-1.09847e-08,5.73993e-09,1.1015e-08,1.58057e-07
0.706,-2.20877e-07,6.19409e-06,3.44517e-06,1.01061e-05,2.49032e-06,-1.10133e-08,5.74443e-09,1.56108e-08,1.64515e-07
0.726,-2.19909e-07,-6.11703e-06,3.42915e-06,1.01437e-05,2.48927e-06,-1.10427e-08,5.749e-09,2.02157e-08,1.70987e-07
0.746,-2.1894e-07,-6.23193e-06,3.41301e-06,1.01823e-05,2.48824e-06,-1.10732e-08,5.75363e-09,2.48248e-08,1.77472e-07
0.766,-2.1797e-07,-6.24073e-06,3.39675e-06,1.02217e-05,2.48721e-06,-1.11046e-08,5.75832e-09,2.94363e-08,1.83972e-07
0.786,-2.27559e-07,-6.17478e-06,3.561e-06,-9.8574e-06,2.50353e-06,-1.09181e-08,5.71597e-09,3.3724e-08,1.90563e-07
0.806,-2.28526e-07,-1.13832e-05,3.56783e-06,-9.83082e-06,2.4989e-06,-1.08101e-08,5.70965e-09,3.83324e-08,1.9691e-07
0.826,-2.03906e-07,-7.15353e-06,3.12844e-06,-2.3989e-05,2.49481e-06,1.17096e-08,5.81377e-09,4.29707e-08,2.03395e-07
0.846,-2.04976e-07,5.79255e-06,3.18549e-06,-1.02672e-05,2.47261e-06,-1.11112e-08,5.7696e-09,4.75609e-08,2.09764e-07
0.866,-2.05599e-07,-5.90424e-06,3.19263e-06,-1.0307e-05,2.48257e-06,-1.11548e-08,5.78927e-09,5.21712e-08,2.16166e-07
0.886,-2.02756e-07,-6.94129e-06,3.15836e-06,-1.01335e-05,2.44613e-06,-1.09743e-08,5.7195e-09,5.67514e-08,2.22517e-07
0.906,-2.03426e-07,-5.68112e-06,3.17266e-06,-1.01239e-05,2.44674e-06,-1.09589e-08,5.71866e-09,6.13509e-08,2.28861e-07
0.926,-2.03426e-07,-5.67967e-06,3.17266e-06,-1.0121e-05,2.44672e-06,-1.09555e-08,5.71863e-09,6.59539e-08,2.35208e-07
0.946,-2.03018e-07,-6.92013e-06,3.16666e-06,-1.01092e-05,2.4431e-06,-1.09438e-08,5.71206e-09,7.05555e-08,2.41557e-07
0.966,-2.0373e-07,5.69995e-06,3.17534e-06,-1.01502e-05,2.45182e-06,-1.09862e-08,5.72863e-09,7.51641e-08,2.47916e-07
0.986,-2.03425e-07,-5.83522e-06,3.17263e-06,-1.01193e-05,2.44667e-06,-1.09542e-08,5.71856e-09,7.97636e-08,2.54259e-07
1.006,-2.04033e-07,-6.92524e-06,3.17803e-06,-1.01753e-05,2.45683e-06,-1.10131e-08,5.7385e-09,8.43745e-08,2.60627e-07
1.026,-2.03424e-07,-5.67865e-06,3.1726e-06,-1.01176e-05,2.44662e-06,-1.09529e-08,5.7185e-09,8.89705e-08,2.66967e-07
1.046,-2.03089e-07,-5.66541e-06,3.16893e-06,-1.00989e-05,2.44215e-06,-1.09324e-08,5.70983e-09,9.35709e-08,2.73307e-07
1.066,-2.10642e-07,-1.21287e-05,3.25839e-06,1.15327e-05,2.72873e-06,-1.24845e-08,6.15261e-09,9.82246e-08,2.80122e-07
1.086,-2.12145e-07,-7.17031e-06,3.266e-06,-1.08799e-05,2.58794e-06,-1.17748e-08,5.99732e-09,1.0267e-07,2.86529e-07
1.106,-2.13081e-07,-6.48871e-06,3.22643e-06,-1.38061e-05,2.62401e-06,-2.66273e-08,6.0615e-09,1.07381e-07,2.93074e-07
1.126,-2.27496e-07,6.27298e-06,3.56224e-06,-9.87066e-06,2.50297e-06,-1.08225e-08,5.71551e-09,1.11501e-07,2.99513e-07
1.146,-2.10657e-07,-1.33141e-05,3.25184e-06,-1.14315e-05,2.72535e-06,-1.24086e-08,6.1441e-09,1.16152e-07,3.0641e-07
1.166,-2.11793e-07,-7.16326e-06,3.26144e-06,-1.08484e-05,2.58233e-06,-1.17413e-08,5.98628e-09,1.20589e-07,3.12806e-07
1.186,-2.12365e-07,-7.17408e-06,3.26964e-06,-1.08695e-05,2.59138e-06,-1.17583e-08,6.00422e-09,1.252e-07,3.19352e-07
